Game Type,Date,Opponent,TTO,Pitcher,P Hand,Inning,Pitch Count,Batter,B Hand,ROB,Count,Outs,PAResCopy1,Pitch Type,Pitch Result,PA Result,Base Adv.,Exit Velo,BIP Type,Pitch Velo,TTP,PAResCopy2,OA3,Putaways,Catcher,Umpire,PitcherCopy,Team W-L,Score,Start/Relief,W,L,S,IP,R,ER,LO #,LO-reach,LO-Score,BI,BI-Ch,SD Inn,SD-Ch,M-out,M-Ch,1st Responder,IR,IR-Score,Previous Pitch Type,Previous Pitch result,Previous PA Result,BlankCol1,BlankCol2,BlankCol3,BlankCol4,BlankCol5,BlankCol6,BlankCol7,BlankCol8,BlankCol9,BlankCol10
DO NOT USE THIS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,Leadoff,,,Big Innings,,Shutdowns,,Momentum,,,Inherited,,#REF!,#REF!,#REF!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22 Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,29,Beiswenger,RHH,R1,0-0,0,,CT,Str-take,,,,,87,1.65,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,29,Beiswenger,RHH,R1,0-0,0,,CT,Str-take,,,,,87,1.65,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,30,Beiswenger,RHH,R1,0-1,0,,SL,Ball,,,,,80,1.60,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,30,Beiswenger,RHH,R1,0-1,0,,SL,Ball,,,,,80,1.60,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,31,Beiswenger,RHH,R1,1-1,0,,CT,Str-take,,,,,87,1.65,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,31,Beiswenger,RHH,R1,1-1,0,,CT,Str-take,,,,,87,1.65,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,32,Beiswenger,RHH,R1,1-2,0,,SL,Ball,,Error,,,80,1.60,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,32,Beiswenger,RHH,R1,1-2,0,,SL,Ball,,Error,,,80,1.60,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,33,Beiswenger,RHH,R3+,2-2,0,,CT,Str-foul,,,,,87,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,33,Beiswenger,RHH,R3+,2-2,0,,CT,Str-foul,,,,,87,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,34,Beiswenger,RHH,R3+,2-2,0,KL,SL,Str-take,KL,,,,82,,KL,Y,Y,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,34,Beiswenger,RHH,R3+,2-2,0,KL,SL,Str-take,KL,,,,82,,KL,Y,Y,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,35,Calabrese,LHH,R3+,0-0,1,,SL,Ball,,,,,81,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,35,Calabrese,LHH,R3+,0-0,1,,SL,Ball,,,,,81,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,36,Calabrese,LHH,R3+,1-0,1,,Sinker,Ball,,,,,87,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,36,Calabrese,LHH,R3+,1-0,1,,Sinker,Ball,,,,,87,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,37,Calabrese,LHH,R3+,2-0,1,,CT,Ball,,,,,88,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,37,Calabrese,LHH,R3+,2-0,1,,CT,Ball,,,,,88,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,38,Calabrese,LHH,R3+,3-0,1,,CT,Str-take,,,,,88,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,38,Calabrese,LHH,R3+,3-0,1,,CT,Str-take,,,,,88,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,39,Calabrese,LHH,R3+,3-1,1,,CT,Str-foul,,,,,87,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,39,Calabrese,LHH,R3+,3-1,1,,CT,Str-foul,,,,,87,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,40,Calabrese,LHH,R3+,3-2,1,FC,SL,Str-BIP,FC,,,Ground,81,,FC,N,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,40,Calabrese,LHH,R3+,3-2,1,FC,SL,Str-BIP,FC,,,Ground,81,,FC,N,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,41,Alexander,LHH,R1,0-0,1,,CT,Ball,,,,,89,1.60,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,41,Alexander,LHH,R1,0-0,1,,CT,Ball,,,,,89,1.60,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,42,Alexander,LHH,R1,1-0,1,,CT,Str-take,,,,,87,1.55,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,42,Alexander,LHH,R1,1-0,1,,CT,Str-take,,,,,87,1.55,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,43,Alexander,LHH,R1,1-1,1,,Sinker,Ball,,,,,87,1.65,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,43,Alexander,LHH,R1,1-1,1,,Sinker,Ball,,,,,87,1.65,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,44,Alexander,LHH,R1,2-1,1,1B,CT,Str-BIP,1B,,82,Line,87,1.55,1B,N,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,44,Alexander,LHH,R1,2-1,1,1B,CT,Str-BIP,1B,,82,Line,87,1.55,1B,N,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,45,"Swenson, A.",RHH,R13+,0-0,1,,CT,Str-S/M,,,,,88,1.60,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,45,"Swenson, A.",RHH,R13+,0-0,1,,CT,Str-S/M,,,,,88,1.60,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,46,"Swenson, A.",RHH,R13+,0-1,1,,SL,Str-take,,,,,80,1.55,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,46,"Swenson, A.",RHH,R13+,0-1,1,,SL,Str-take,,,,,80,1.55,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,47,"Swenson, A.",RHH,R13+,0-2,1,,Sinker,Ball,,,,,88,1.55,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,47,"Swenson, A.",RHH,R13+,0-2,1,,Sinker,Ball,,,,,88,1.55,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,48,"Swenson, A.",RHH,R13+,1-2,1,K,SL,Str-S/M,K,,,,82,1.50,K,Y,Y,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,48,"Swenson, A.",RHH,R13+,1-2,1,K,SL,Str-S/M,K,,,,82,1.50,K,Y,Y,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,49,Facinelli,RHH,R13+,0-0,2,,SL,Ball,,,,,81,1.50,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,49,Facinelli,RHH,R13+,0-0,2,,SL,Ball,,,,,81,1.50,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,50,Facinelli,RHH,R13+,1-0,2,,CT,Ball,,SB2,,,87,1.55,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,50,Facinelli,RHH,R13+,1-0,2,,CT,Ball,,SB2,,,87,1.55,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,51,Facinelli,RHH,R23+,2-0,2,,SL,Ball,,,,,80,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,51,Facinelli,RHH,R23+,2-0,2,,SL,Ball,,,,,80,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,52,Facinelli,RHH,R23+,3-0,2,,CT,Str-take,,,,,87,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,52,Facinelli,RHH,R23+,3-0,2,,CT,Str-take,,,,,87,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,53,Facinelli,RHH,R23+,3-1,2,BB,CT,Ball,BB,,,,88,,BB,N,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,53,Facinelli,RHH,R23+,3-1,2,BB,CT,Ball,BB,,,,88,,BB,N,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,54,Bullock,RHH,R123+,0-0,2,,Sinker,Ball,,,,,88,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,54,Bullock,RHH,R123+,0-0,2,,Sinker,Ball,,,,,88,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,55,Bullock,RHH,R123+,1-0,2,,CT,Str-take,,,,,87,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,55,Bullock,RHH,R123+,1-0,2,,CT,Str-take,,,,,87,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,56,Bullock,RHH,R123+,1-1,2,,CT,Ball,,,,,88,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,56,Bullock,RHH,R123+,1-1,2,,CT,Ball,,,,,88,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,57,Bullock,RHH,R123+,2-1,2,,SL,Ball,,,,,81,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,57,Bullock,RHH,R123+,2-1,2,,SL,Ball,,,,,81,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,58,Bullock,RHH,R123+,3-1,2,,CT,Str-foul,,,,,89,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,58,Bullock,RHH,R123+,3-1,2,,CT,Str-foul,,,,,89,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,59,Bullock,RHH,R123+,3-2,2,,CT,Str-foul,,,,,89,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,59,Bullock,RHH,R123+,3-2,2,,CT,Str-foul,,,,,89,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,60,Bullock,RHH,R123+,3-2,2,FO,Sinker,Str-BIP,FO,,71,Popup,88,,FO,N,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,60,Bullock,RHH,R123+,3-2,2,FO,Sinker,Str-BIP,FO,,71,Popup,88,,FO,N,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,1,Kender,RHH,BE,0-0,0,,FB,Str-foul,,,,,87,,,,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,1,Kender,RHH,BE,0-0,0,,FB,Str-foul,,,,,87,,,,,Bullock,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,2,Kender,RHH,BE,0-1,0,,SL,Str-take,,,,,80,,,,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,2,Kender,RHH,BE,0-1,0,,SL,Str-take,,,,,80,,,,,Bullock,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,3,Kender,RHH,BE,0-2,0,,CH,Ball,,,,,85,,,,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,3,Kender,RHH,BE,0-2,0,,CH,Ball,,,,,85,,,,,Bullock,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,4,Kender,RHH,BE,1-2,0,,SL,Ball,,,,,81,,,,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,4,Kender,RHH,BE,1-2,0,,SL,Ball,,,,,81,,,,,Bullock,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,5,Kender,RHH,BE,2-2,0,,FB,Ball,,,,,87,,,,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,5,Kender,RHH,BE,2-2,0,,FB,Ball,,,,,87,,,,,Bullock,,,,,,,,,
